STATENAME,statecode,regions
Alabama,AL,South
Alaska,AK,South
Arizona,AZ,West
Arkansas,AR,West
California,CA,West
Colorado,CO,West
Connecticut,CT,North East
Delaware,DE,South
Florida,FL,South
Georgia,GA,South
Hawaii,HI,West
Idaho,ID,West
Illinois,IL,Midwest
Indiana,IN,Midwest
Iowa,IA,Midwest
Kansas,KS,Midwest
Kentucky,KY,South
Louisiana,LA,South
Maine,ME,North East
Maryland,MD,South
Massachusetts,MA,North East
Michigan,MI,Midwest
Minnesota,MN,Midwest
Mississippi,MS,South
Missouri,MO,Midwest
Montana,MT,West
Nebraska,NE,Midwest
Nevada,NV,West
New Hampshire,NH,North East
New Jersey,NJ,North East
New Mexico,NM,West
New York,NY,North East
North Carolina,NC,South
North Dakota,ND,Midwest
Ohio,OH,Midwest
Oklahoma,OK,South
Oregon,OR,West
Pennsylvania,PA,North East
Rhode Island,RI,North East
South Carolina,SC,South
South Dakota,SD,Midwest
Tennessee,TN,South
Texas,TX,South
Utah,UT,West
Vermont,VT,North East
Virginia,VA,South
Washington,WA,West
West Virginia,WV,South
Wisconsin,WI,Midwest
Wyoming,WY,West
