STATENAME,ST_CASE,VEH_NO,VIOLATION,VIOLATIONNAME
Alabama,10010,1,95,No Driver Present/Unknown if Driver Present
Alabama,10010,2,71,Driving while license withdrawn
Alabama,10013,1,75,Fail to carry insurance card
Alabama,10042,1,95,No Driver Present/Unknown if Driver Present
Alabama,10051,1,72,Other driver license violations
Alabama,10062,1,75,Fail to carry insurance card
Alabama,10156,1,1,Manslaughter or homicide
Alabama,10156,1,7,"Hit-and-run, fail to stop after crash"
Alabama,10156,1,15,Illegal possession of alcohol or drugs
Alabama,10165,1,97,Not Reported
Alabama,10201,1,71,Driving while license withdrawn
Alabama,10205,1,71,Driving while license withdrawn
Alabama,10210,1,95,No Driver Present/Unknown if Driver Present
Alabama,10225,1,13,Driving under influence of substance not intended to intoxicate
Alabama,10234,1,95,No Driver Present/Unknown if Driver Present
Alabama,10265,1,72,Other driver license violations
Alabama,10279,1,95,No Driver Present/Unknown if Driver Present
Alabama,10341,2,72,Other driver license violations
Alabama,10346,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
Alabama,10355,3,95,No Driver Present/Unknown if Driver Present
Alabama,10457,2,72,Other driver license violations
Alabama,10470,1,72,Other driver license violations
Alabama,10491,1,95,No Driver Present/Unknown if Driver Present
Alabama,10526,1,95,No Driver Present/Unknown if Driver Present
Alabama,10573,1,1,Manslaughter or homicide
Alabama,10633,1,1,Manslaughter or homicide
Alabama,10645,1,71,Driving while license withdrawn
Alabama,10753,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
Alabama,10767,1,76,Driving uninsured vehicle
Alabama,10796,1,7,"Hit-and-run, fail to stop after crash"
Alabama,10811,1,71,Driving while license withdrawn
Alabama,10812,1,95,No Driver Present/Unknown if Driver Present
Alabama,10815,2,95,No Driver Present/Unknown if Driver Present
Alabama,10827,2,95,No Driver Present/Unknown if Driver Present
Alabama,10836,2,75,Fail to carry insurance card
Alabama,10848,2,72,Other driver license violations
Alabama,10851,1,71,Driving while license withdrawn
Alabama,10865,1,72,Other driver license violations
Alabama,10870,1,72,Other driver license violations
Alabama,10879,2,75,Fail to carry insurance card
Alabama,10886,3,95,No Driver Present/Unknown if Driver Present
Alabama,10892,1,75,Fail to carry insurance card
Alaska,20001,1,1,Manslaughter or homicide
Alaska,20001,1,8,"Fail to give aid, info., wait for police after crash"
Alaska,20006,2,37,Fail to obey stop sign
Alaska,20012,1,95,No Driver Present/Unknown if Driver Present
Alaska,20014,1,1,Manslaughter or homicide
Alaska,20014,1,7,"Hit-and-run, fail to stop after crash"
Alaska,20014,1,8,"Fail to give aid, info., wait for police after crash"
Alaska,20014,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
Alaska,20019,1,1,Manslaughter or homicide
Alaska,20019,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
Alaska,20024,1,1,Manslaughter or homicide
